,cycle_type,Time,Capacity
0,discharge,1819.406,0.7459302957645664
1,impedance,0.12557395008126016,0.15780591351992612
2,charge,10804.687,
3,impedance,0.12403017029761343,0.151331100257049
4,discharge,3260.531,1.6623217152845853
5,charge,10804.797000000006,
6,discharge,3265.75,1.645087369694532
7,charge,10742.266,
8,discharge,3264.109,1.620729289277574
9,charge,10680.516,
10,discharge,3253.531,1.5967402025126005
11,charge,10805.453,
12,discharge,3242.578,1.4856500618812698
13,impedance,0.12084426981513624,0.14616348271902685
14,charge,10807.953,
15,impedance,0.120380461449601,0.14609810226440045
16,discharge,3234.625,1.4866702197497013
17,charge,10807.078,
18,discharge,3235.36,1.4701330958405268
19,charge,10808.171000000002,
20,discharge,3236.125,1.4565041801019636
21,charge,10806.641,
22,discharge,3230.25,1.4418961035576472
23,charge,10807.39,
24,discharge,3226.078,1.4370949588970292
25,impedance,0.11965777417683612,0.14349897177995793
26,charge,10808.203,
27,impedance,0.12057655358877217,0.1431788177780116
28,discharge,3224.5,1.4458703624967404
29,charge,10805.781,
30,discharge,3222.188,1.4321040545618373
31,charge,10808.015,
32,discharge,3216.546000000002,1.426720633302465
33,charge,10807.844,
34,discharge,3211.859,1.4230846885129826
35,charge,10807.343,
36,discharge,3215.859,1.4409479522418907
37,impedance,0.12018997357050355,0.14220471849481675
38,charge,10806.468,
39,impedance,0.12105054497689474,0.14193482357582785
40,discharge,3225.125,1.486901544051865
41,charge,10809.094,
42,discharge,3234.343,1.5245313226850703
43,charge,10807.516,
44,discharge,3218.25,1.4629049605190707
45,charge,10807.766000000003,
46,discharge,3203.5,1.4230794508549893
47,charge,10805.969,
48,discharge,3194.39,1.4051040863603435
49,impedance,0.11967878004753321,0.142066857174274
50,charge,10781.344,
51,impedance,0.12078755361712225,0.14207793352200573
52,discharge,3225.219,1.6329463925070862
53,impedance,0.12307440664540831,0.1416977897960522
54,charge,10500.75,
55,impedance,0.1231860471342966,0.14351656468766227
56,discharge,3252.985,1.5687138208259117
57,charge,10759.047000000006,
58,discharge,3245.25,1.5149520966053402
59,charge,10808.219,
60,discharge,3235.031,1.4855182940634626
61,charge,10806.25,
62,discharge,3228.141,1.480771929049074
63,charge,10807.046,
64,discharge,3217.875,1.484026357317059
65,impedance,0.12115700368854512,0.14158362729482973
66,charge,10807.812,
67,impedance,0.1220873226956666,0.14161127232970974
68,discharge,3220.219,1.4922153055506522
69,charge,10794.063,
70,discharge,3210.234,1.473312924099279
71,charge,10807.437999999995,
72,discharge,3210.546,1.441593178980006
73,charge,10807.515,
74,discharge,3200.969,1.4225873198015788
75,charge,10801.0,
76,discharge,3188.625,1.4266489379486664
77,impedance,0.12074081045247792,0.14220981139271427
78,charge,10808.875,
79,impedance,0.12133518752790637,0.1421662524982832
