,cycle_type,Time,Capacity
0,charge,5080.078,
1,impedance,0.0695338223583365,0.11270565686795861
2,discharge,3360.922,1.713782642126885
3,charge,10803.703999999998,
4,discharge,3289.406,1.6955681658647108
5,charge,10802.781,
6,discharge,3244.797,1.6814906372051954
7,charge,10802.468,
8,discharge,3211.438,1.6786372409532953
9,charge,10802.39,
10,discharge,3175.594,1.6694168550864992
11,impedance,0.06397229891106027,0.1085598128584668
12,charge,10802.547,
13,impedance,0.06047438402137438,0.10460205007342203
14,discharge,2646.625,0.0
15,charge,10513.953,
16,discharge,3121.672,1.6611938521224778
17,charge,10805.0,
18,discharge,3102.937,1.6506423382064332
19,charge,10804.266,
20,discharge,3089.437,1.6424273190907783
21,charge,10803.594,
22,discharge,3077.75,1.6353664801041328
23,impedance,0.059814931127301754,0.10077831941231151
24,charge,10802.406,
25,impedance,0.06080278322959827,0.10346301364637374
26,discharge,3074.875,1.633232875930849
27,charge,10805.516,
28,discharge,3061.891,1.6258840554387932
29,charge,10804.578,
30,discharge,3058.469,1.617976174654771
31,charge,10802.781000000003,
32,discharge,3040.75,1.6136652707273988
33,charge,10803.484,
34,discharge,3037.641,1.605821026619692
35,impedance,0.0609403216648771,0.10003120292465033
36,charge,10803.953,
37,impedance,0.0627657269457884,0.10569902497986362
38,discharge,3044.828,1.6033527961961531
39,charge,10802.313,
40,discharge,3030.25,1.5951342406182645
41,charge,10802.547,
42,discharge,3017.578,1.5878135544728507
43,charge,10805.141,
44,discharge,3015.0,1.5800601969084245
45,charge,10802.875,
46,discharge,2999.454,1.575565087879128
47,impedance,0.060028199443392535,0.1029964391005226
48,charge,10803.204,
49,impedance,0.05946405522319262,0.10318260288317935
50,discharge,3054.859,1.5950169012164208
51,impedance,0.05992507748021127,0.09963743520230726
52,charge,10803.672,
53,impedance,0.058209861764615595,0.09875194822232924
54,discharge,3034.875,1.5898075522577595
55,charge,10803.109,
56,discharge,3030.0,1.5807953202097411
57,charge,10803.687000000005,
58,discharge,3011.781,1.5704333289187615
59,charge,10805.016,
60,discharge,2990.25,1.5643368431897877
61,charge,10802.484,
62,discharge,2980.234,1.558307017802491
63,impedance,0.059357567780692504,0.09646126147273448
64,charge,10804.281,
65,impedance,0.06274655210749347,0.10238976816496678
66,discharge,2994.844,1.5537149289772467
67,charge,10806.0,
68,discharge,2987.672,1.549528250585513
69,charge,10803.312,
70,discharge,2975.1100000000006,1.5424430535161062
71,charge,10806.016,
72,discharge,2953.219,1.54256227031715
73,charge,10802.829,
74,discharge,2955.484,1.5309356452520158
75,impedance,0.05969818363702731,0.09543453610611552
76,charge,10802.265,
77,impedance,0.06130052419342855,0.10368442434079139
78,discharge,2957.016,1.5247733176952427
79,charge,10805.875,
80,discharge,2948.219,1.5196742408779502
81,charge,10804.343,
82,discharge,2935.5,1.5123696925788683
83,charge,10805.5,
84,discharge,2913.797000000006,1.499914486202397
85,charge,10803.484,
86,discharge,2900.703,1.4924106271188253
87,impedance,0.062360229332975706,0.09980194578119271
88,charge,10805.328,
89,impedance,0.06100598756900302,0.10420033349924379
90,discharge,2914.031,1.492624987952706
91,charge,10805.453,
92,discharge,2901.968,1.4924024018806028
93,charge,10806.391,
94,discharge,2901.734,1.4853020201751674
95,charge,10805.922,
96,discharge,2887.407,1.477208127101587
97,charge,10805.39,
98,discharge,2861.937,1.4694738525181406
99,impedance,0.06410791830349975,0.10005880962801757
100,charge,10803.094,
101,impedance,0.0634383455309271,0.10705250568697418
102,discharge,1055.25,0.057034391042653794
103,impedance,0.06974013460963176,0.20684891992638932
104,charge,10806.266,
105,impedance,0.06807242725280273,0.215524679658249
106,discharge,1012.187,0.0571536334895882
107,charge,10803.094,
108,discharge,991.172,0.05729366005937665
109,charge,10805.765,
110,discharge,982.094,0.05744203185278054
111,charge,8483.202999999994,
112,discharge,1063.609,0.06713062107721124
113,charge,10803.406,
