,cycle_type,Time,Capacity
0,discharge,1819.406,0.06842572240601812
1,impedance,0.10369425753447586,0.1418732466241537
2,charge,10804.687,
3,impedance,0.10298420089459744,0.13119351045101016
4,discharge,3260.531,0.6895699007862814
5,charge,10804.797000000006,
6,discharge,3265.75,1.1610848192311252
7,charge,10742.266,
8,discharge,3264.109,1.2529393053824995
9,charge,10680.516,
10,discharge,3253.531,1.302918002447558
11,charge,10805.453,
12,discharge,3242.578,1.3218773211472525
13,impedance,0.11392818636432676,0.14086662205241793
14,charge,10807.953,
15,impedance,0.1127111810781862,0.13896284881528578
16,discharge,3234.625,1.2884694418301417
17,charge,10807.078,
18,discharge,3235.36,1.713169326386719
19,charge,10808.171000000002,
20,discharge,3236.125,1.6560966776720512
21,charge,10806.641,
22,discharge,3230.25,1.6197297341990775
23,charge,10807.39,
24,discharge,3226.078,1.604655812282729
25,impedance,0.08831553447497067,0.11333902267721879
26,charge,10808.203,
27,impedance,0.08860344767715381,0.11319948246992284
28,discharge,3224.5,1.6255699769029337
29,charge,10805.781,
30,discharge,3222.188,1.5900967306245992
31,charge,10808.015,
32,discharge,3216.546000000002,1.5739402299623984
33,charge,10807.844,
34,discharge,3211.859,1.5711303351557309
35,charge,10807.343,
36,discharge,3215.859,1.5897706153457416
37,impedance,0.07728829475356114,0.10026658085153334
38,charge,10806.468,
39,impedance,0.07813800801189155,0.0992161368025628
40,discharge,3225.125,1.6257378771074
41,charge,10809.094,
42,discharge,3234.343,1.6523506333962537
43,charge,10807.516,
44,discharge,3218.25,1.6143816761595386
45,charge,10807.766000000003,
46,discharge,3203.5,1.58697453394504
47,charge,10805.969,
48,discharge,3194.39,1.5818355572787333
49,impedance,0.07591817272957815,0.10023628255297479
50,charge,10781.344,
51,impedance,0.07674714871329817,0.09869401759754139
52,discharge,3225.219,1.6919769406371152
53,impedance,0.07909409015271307,0.09825560004085176
54,charge,10500.75,
55,impedance,0.07795383619221115,0.09816001233597475
56,discharge,3252.985,1.6879483800354476
57,charge,10759.047000000006,
58,discharge,3245.25,1.6586223007531458
59,charge,10808.219,
60,discharge,3235.031,1.6420179032789863
61,charge,10806.25,
62,discharge,3228.141,1.6381810791118743
63,charge,10807.046,
64,discharge,3217.875,1.6422892507912386
65,impedance,0.07590768772169944,0.0985037315687698
66,charge,10807.812,
67,impedance,0.07787221314323793,0.09725649527053785
68,discharge,3220.219,1.651270876264092
69,charge,10794.063,
70,discharge,3210.234,1.6326559297917211
71,charge,10807.437999999995,
72,discharge,3210.546,1.6260888111680731
73,charge,10807.515,
74,discharge,3200.969,1.6079292963823688
75,charge,10801.0,
76,discharge,3188.625,1.6125361114907395
77,impedance,0.07532216182907811,0.09899695119784263
78,charge,10808.875,
79,impedance,0.07613015600172764,0.09816039761373273
80,discharge,3191.735,1.6218384168987892
81,charge,10762.766,
82,discharge,3190.313,1.6145443029101134
83,charge,10727.078,
84,discharge,3182.156,1.5953958917107596
85,charge,10807.75,
86,discharge,3180.156,1.5877243027113057
87,charge,10788.031,
88,discharge,3171.953,1.5811840578305605
89,impedance,0.07470711266527329,0.09813114327178289
90,charge,10810.422,
91,impedance,0.0770653853843182,0.0974835281416819
92,discharge,3192.172,1.6128422608267754
93,charge,10651.297,
94,discharge,3194.735,1.61998606328022
95,charge,10503.469,
96,discharge,3178.75,1.6099381853611876
97,charge,10696.625,
98,discharge,3165.359,1.5770977539565159
99,charge,10591.812000000005,
100,discharge,3155.25,1.5708599066554392
101,impedance,0.07463063958690747,0.09863001758122447
102,charge,10767.687,
103,impedance,0.07518339894307172,0.09809215711759375
104,discharge,3173.766,1.6261581345348248
105,impedance,0.07654401713479422,0.09679302435225765
106,charge,10543.359,
