,cycle_type,Time,Capacity
0,impedance,0.05064225689246009,0.10592230651613348
1,charge,10806.079,
2,impedance,0.05049806868976536,0.07744323134663625
3,discharge,6515.422000000006,1.847011162956716
4,charge,10807.328,
5,discharge,6516.219,1.8485654344528386
6,charge,10806.312,
7,discharge,6489.5,1.847111177186175
8,charge,10807.906,
9,discharge,6471.25,1.8489837601535537
10,charge,10800.765,
11,discharge,6466.672,1.8370120718560439
12,impedance,0.05049250288777564,0.08968889697268458
13,charge,10773.265,
14,impedance,0.04870785604053997,0.07363349920087561
15,discharge,6410.672,1.817549211247137
16,impedance,0.04862113536419417,0.08572662250786982
17,charge,10764.344,
18,impedance,0.04828042597969788,0.0721569924368534
19,discharge,6474.156,1.839863822522073
20,charge,10686.219,
21,charge,9102.89,
22,discharge,6460.75,1.8430595619731431
23,charge,10559.0,
24,discharge,6448.907,1.8401871729536057
25,charge,10581.078,
26,discharge,6447.125,1.8281265632888257
27,impedance,0.04837169138841439,0.0796912200200623
28,charge,10564.297,
29,impedance,0.048783947573537365,0.07116933387013606
30,discharge,6431.219,1.8253563336445804
31,impedance,0.047978749761169254,0.08058896691232123
32,charge,10670.063,
33,impedance,0.04761134038978747,0.07008007271526831
34,discharge,6442.203,1.8214180552626154
35,charge,10422.984,
36,discharge,6427.079,1.830315627968932
37,charge,10580.156000000003,
38,discharge,6417.156,1.8175491643824844
39,charge,10479.5,
40,discharge,6398.907,1.810901200296979
41,charge,10589.297,
42,discharge,6384.75,1.8083032603084233
43,impedance,0.04665952944367001,0.07627346177245174
44,charge,10748.938,
45,impedance,0.04782783143571519,0.06953409424915814
46,discharge,6284.063,1.7928016149381065
47,impedance,0.05043542021280242,0.08262757791733341
48,charge,10225.11,
49,impedance,0.048715102182355724,0.0704168042049264
50,discharge,6370.937000000005,1.812563150045885
51,charge,10270.453,
52,discharge,6359.812,1.807772607491239
53,charge,10255.313,
54,discharge,6346.156,1.8048055175003972
55,charge,10284.375,
56,discharge,6328.172,1.800538555899242
57,charge,10313.407,
58,discharge,6326.062,1.7942356098033032
59,impedance,0.04885267503596435,0.07841196031734854
60,charge,10531.859,
61,impedance,0.04934938710245162,0.06938371459194762
62,impedance,0.04796792392672785,0.06497172459905518
63,charge,7543.469,
64,impedance,0.04842836093081604,0.07150751057033007
65,discharge,6352.843,1.807409052434889
66,charge,10274.11,
67,discharge,6309.172000000006,1.7902504816962075
68,charge,10359.328,
69,discharge,6284.297,1.7961223845359495
70,charge,10312.172,
71,discharge,6265.969,1.7912236690350776
72,charge,10450.047,
73,discharge,6266.641,1.7854822365303245
74,impedance,0.04856141926788811,0.07728540519082959
75,charge,10603.313,
76,impedance,0.04785330606425702,0.06903926932921352
77,discharge,6198.75,1.7677890780323617
78,impedance,0.04966087070085884,0.08244546715154538
79,charge,2062.547,
