,cycle_type,Time,Capacity
0,impedance,0.040124519949728245,0.05376303915907888
1,discharge,1572.359,1.6666751942525773
2,charge,9888.75,
3,discharge,1723.281,1.8328583629543174
4,charge,9764.735,
5,discharge,1705.906,1.8139835002945137
6,charge,9742.437999999995,
7,discharge,1697.688,1.8044387333514835
8,charge,9674.14,
9,discharge,1686.094,1.802147684291295
10,impedance,0.040842642204731994,0.05303523438627229
11,charge,9801.422,
12,impedance,0.04071872914330263,0.05112679599630773
13,discharge,1678.563,1.7715647509798835
14,charge,9517.672,
15,discharge,1677.469,1.8139928165779542
16,charge,9500.375,
17,discharge,1666.093,1.8013261041198854
18,charge,9474.375,
19,discharge,1654.328,1.7883722583933568
20,charge,9446.969,
21,discharge,1643.812,1.7765401657373159
22,impedance,0.04035159218032749,0.05218954533068119
23,charge,9648.516,
24,impedance,0.040699218806419864,0.05064332514877689
25,discharge,1652.266,1.7856209131823229
26,charge,9315.61,
27,discharge,1648.672,1.7813634036685941
28,charge,9290.016,
29,discharge,1636.969,1.7684898383971241
30,charge,9274.812,
31,discharge,1625.187,1.766505238291406
32,charge,9327.077999999994,
33,discharge,1622.016,1.751740527921767
34,impedance,0.040231843280723004,0.05154268955180202
35,charge,9473.437,
36,impedance,0.04050549867334228,0.05069726653866528
37,discharge,1638.422,1.7352349314055016
38,charge,9249.172,
39,discharge,1646.438,1.7782778274549178
40,charge,9276.188,
41,discharge,1634.765,1.7649894859707393
42,charge,9297.734,
43,discharge,1622.016,1.762591283533551
44,charge,9333.438,
45,discharge,1616.25,1.744314576121582
46,impedance,0.039998379850026945,0.05163650328317452
47,charge,9377.641000000003,
48,impedance,0.04061141826029614,0.05008697982671967
49,discharge,1622.218,1.7628373753518478
50,charge,9200.078,
51,discharge,1619.656,1.747857930947971
52,charge,9216.281,
53,discharge,1605.484,1.7441167338864993
54,charge,9244.75,
55,discharge,1600.75,1.7268422932817387
56,charge,9233.563,
57,discharge,1595.0,1.7203093493042265
58,impedance,0.0397875885519823,0.0521230795031729
59,charge,9306.797000000006,
60,impedance,0.04172653964351383,0.051916795792559825
61,discharge,1612.422,1.7394245516699778
62,charge,9228.125,
63,discharge,1598.969,1.7367384416372014
64,charge,9122.188,
65,discharge,1592.187,1.716963468448543
66,charge,9176.562999999995,
67,discharge,1577.484,1.7127773558366357
68,charge,9170.625,
69,discharge,1571.547,1.7061083466554066
70,impedance,0.03914323955969552,0.05158925047993752
71,charge,9317.781,
72,impedance,0.040710936218643606,0.05094793623556071
73,discharge,1578.484,1.713732696207521
74,charge,9136.687,
75,discharge,1574.469,1.7093475797926974
76,charge,9163.844,
77,discharge,1568.281,1.6901000454115587
78,charge,9143.156,
79,discharge,1561.422,1.6946883343387664
80,charge,9074.094,
81,discharge,1554.234,1.687010991299212
82,impedance,0.039289080646391056,0.05116192625261465
83,charge,9387.891000000003,
84,impedance,0.04079363409442219,0.05103113271210534
85,discharge,1573.734,1.6957069027070075
86,charge,9124.89,
87,discharge,1566.578,1.687696889615565
88,charge,9101.484,
89,discharge,1550.047,1.6819617127259294
90,charge,9133.031,
91,discharge,1543.64,1.6750033888978846
92,charge,9029.031,
93,discharge,1536.781,1.6672987794846676
94,impedance,0.04130673444529356,0.05289127679467926
95,charge,9287.937999999995,
96,impedance,0.040724137674663326,0.05065160968263164
