,cycle_type,Time,Capacity
0,impedance,0.0927177470818637,0.1378722191002069
1,charge,10806.079,
2,impedance,0.09120758117267147,0.11624466028643005
3,discharge,6515.422000000006,1.8132504303869899
4,charge,10807.328,
5,discharge,6516.219,1.8149760087078302
6,charge,10806.312,
7,discharge,6489.5,1.8135354175561993
8,charge,10807.906,
9,discharge,6471.25,1.815149273310334
10,charge,10800.765,
11,discharge,6466.672,1.8142913014068198
12,impedance,0.0903849200942508,0.12293741459034775
13,charge,10773.265,
14,impedance,0.09016919399025383,0.11019861595863156
15,discharge,6410.672,1.3863373424430125
16,impedance,0.09063718486075122,0.12359070481220745
17,charge,10764.344,
18,impedance,0.09073013455154422,0.11152985344962243
19,discharge,6474.156,1.8165277958816064
20,charge,10686.219,
21,charge,9102.89,
22,discharge,6460.75,1.8085638576011063
23,charge,10559.0,
24,discharge,6448.907,1.804936077644182
25,charge,10581.078,
26,discharge,6447.125,1.8049315924982108
27,impedance,0.08977608029142928,0.1181427746110193
28,charge,10564.297,
29,impedance,0.09024854805901428,0.11023305814454701
30,discharge,6431.219,1.717679232699393
31,impedance,0.09000656314970815,0.12089716577827994
32,charge,10670.063,
33,impedance,0.08961506170632062,0.10904947198823743
34,discharge,6442.203,1.809804813280106
35,charge,10422.984,
36,discharge,6427.079,1.806556213274488
37,charge,10580.156000000003,
38,discharge,6417.156,1.7938155707698507
39,charge,10479.5,
40,discharge,6398.907,1.799304949381792
41,charge,10589.297,
42,discharge,6384.75,1.7842197448470132
43,impedance,0.0894680838191281,0.11633212050124012
44,charge,10748.938,
45,impedance,0.08943811638582581,0.10870083021564407
46,discharge,6284.063,1.6818819918515189
47,impedance,0.09070734698716276,0.11828423048885853
48,charge,10225.11,
49,impedance,0.0898555538406385,0.10908184192931704
50,discharge,6370.937000000005,1.8007519383961936
51,charge,10270.453,
52,discharge,6359.812,1.795972684272296
53,charge,10255.313,
54,discharge,6346.156,1.7931026940553298
55,charge,10284.375,
56,discharge,6328.172,1.8010267542068712
57,charge,10313.407,
58,discharge,6326.062,1.7824572301269948
59,impedance,0.08987378304228023,0.11473899449846424
60,charge,10531.859,
61,impedance,0.09006540943491714,0.1085513280011445
62,impedance,0.08817190653135362,0.10415408021345504
63,charge,7543.469,
64,impedance,0.0894500574420642,0.109309064317628
65,discharge,6352.843,1.7959303030608789
66,charge,10274.11,
67,discharge,6309.172000000006,1.7783142127341003
68,charge,10359.328,
69,discharge,6284.297,1.771719092984802
70,charge,10312.172,
71,discharge,6265.969,1.7790749489536772
72,charge,10450.047,
73,discharge,6266.641,1.7733229782464675
74,impedance,0.09016257982157298,0.11582678352142962
75,charge,10603.313,
76,impedance,0.0894079114965533,0.1093666292348382
77,discharge,6198.75,1.768754111010884
78,impedance,0.09038899546557286,0.1176756750010452
79,charge,2062.547,
